Subclass description,ListPrice,ItemNumber,ProductNumber,Product Name,UpcNumber,Image Name,Weight,Description
Toilets,788,272237,2034014021,American Standard 2034014021 Champion 4 One Piece Elongated Right Height Toilet- Everclean Surface- Bone,033056698167,AS_2034_014_beauty.jpg,119,ADA elongated one piece toilet<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,788,272241,2034014222,American Standard 2034014222 Champion 4 RH EL One Piece Toilet - Linen,033056698174,AS_2034_014_beauty.jpg,119,ADA elongated one piece toilet<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,945,272249,2034014178,American Standard 2034014178 Champion 4 One Piece Elongated Right Height Toilet- Everclean Surface- Black,033056698198,AS_2034_014_beauty.jpg,120,ADA elongated one piece toilet<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,895,494515,2786016020,American Standard 2786016020 Tropic RH EL One Piece Toilet- Concealed Trapway- Matching Tropic Trip Lever- Includes Seat,033056752975,AS_2786_016_020.jpg,116,Elongated siphon action bowl with smooth-sided<br />
Toilets,910,254833,2034004222,American Standard 2034004222 Traditional Champion 4 One-Piece Elongated Right Height Toilet with Seat- Linen,033056698099,AS_2034_004_020.jpg,120,Traditionally styled 1-piece toilet is beautiful and easy to clean<br />Siphon action jetted bowl provides a powerful flush<br />16.5 in. Right height bowl is more comfortable and ADA compliant<br />4 in. piston action accelerator flush valve provides a powerful flush
Toilets,728,254841,2034004020,American Standard 2034004020 Traditional Champion 4 One-Piece Elongated Right Height Toilet with Seat- White,033056698051,AS_2034_004_020.jpg,120,Traditionally styled 1-piece toilet is beautiful and easy to clean<br />Siphon action jetted bowl provides a powerful flush<br />16.5 in. Right Height bowl is more comfortable and ADA compliant<br />4 in. piston action accelerator flush valve provides a powerful flush
Toilets,560,272201,2004014020,American Standard 2004014020 Champion 4 One Piece Elongated Toilet- White,033056698105,AS_2004_014.jpg,117,1-piece design enables easier cleaning<br />Elongated bowl design<br />Made from ceramic<br />EverClean surface helps inhibit the growth of stain- and odor-causing bacteria
Toilets,700,272209,2004014021,American Standard 2004014021 Champion 4 One Piece Elongated Toilet- Everclean Anti-Microbial Surface- Bone,033056698112,AS_2004_014.jpg,117,1-piece design allows for easy cleaning<br />15 in. rim height is ADA compliant<br />Vitreous china construction for durability<br />EverClean surface works to inhibit growth of stain- and odor-causing bacteria
Toilets,700,272213,2004014222,American Standard 2004014222 Champion 4 One Piece Elongated Toilet- Everclean Anti-Microbial Surface- Linen,033056698129,AS_2004_014.jpg,115,Elongated one piece toilet<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,840,272225,2004014178,American Standard 2004014178 Champion 4 One Piece Elongated Toilet- Everclean Anti-Microbial Surface- Black,033056698143,AS_2004_014.jpg,117,Elongated one piece toilet<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,198,466194,3705216020,American Standard 3705216020 H2Option Siphonic Dual Flush Right Height Elongated Bowl- White,033056751862,AS_2887_216_020.jpg,48,Elongated bowl provides more comfort<br />Right height bowl is ADA compliant<br />Siphonic action bowl with direct fed jet<br />Chrome-plated top mounted push button actuator
Toilets,185,466199,3706216021,American Standard 3706216021 H2Option Siphonic Dual Flush Elongated Bowl- Bone,033056752937,AS_2887_216_020.jpg,46.6,Elongated bowl provides more comfort<br />High efficiency toilet with ultra low consumption meets EPA WaterSense criteria<br />Siphonic action bowl with direct fed jet<br />Chrome-plated top mounted push button actuator
Toilets,895,494516,2891016020,American Standard 2891016020 Boulevard RH EL One Piece Toilet- Concealed Trapway- Includes Seat,033056753026,AS_2891_016_020.jpg,119.8,Elongated siphon action bowl with smooth-sided<br />
Toilets,623,572777,2474016LN,American Standard 2474016LN Standard Collection Elongated Toilet- Linen,033056559376,AS_2474_016.jpg,101,Elongated toilet combination - tank and bowl<br />Classic elegance in bowl detail coordinates with tank and seat<br />16.5 in. Rim height is more comfortable and ADA compliant<br />Part of standard collection suite of design-matched fixtures
Toilets,516,466392,2839016021,American Standard 2839016021 Titan Pro Right Height Elongated Toilet- Bone,033056734827,AS_2841_016_020.jpg,89,2-piece design features a separate tank and bowl<br />Elongated bowl for greater comfort<br />Vitreous China construction is durable and easier to clean<br />Features the pro one flushing system for a powerful flush
Toilets,246,572225,3264216020,American Standard 3264216020 Retrospect Right Height (16-1/2 In.) Elongated Toilet Bowl in White,033056616178,AS_2405_016.jpg,68,ADA elongated toilet bowl only<br />AquaForce flushing system features 2 flush valve<br />Fully glazed 2-1/8 trapway<br />Vitreous china<br />Right Height 16-1/2 elongated siphon jet action bowl
