SKU;UPC;ProductName;Description;Price;Category;Attribute;MetaTitle;MetaDescription;MetaKeywords;Qty;Stock;Managestock;BaseImage;Weight;is_processed;Manufacturer;YOW_SKU
SHRSPTSTDK;8,41248E+11;Fusion Hardware SHRSPTSTDK STANDARD SHOWER SPOUT WITH ESCUTCHEON - DARK BRONZE;"Finish Matching Items.<br><ul><li>Sturdy Brass Construction</li><li>6 inches with 45 degree downward projection</li><li>Complete with Matching Escutcheon Trim</li><li>Standard 1/2"" 14 NPT Threading</li></ul>";26,245625;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469984
SHRSPTSTPL;8,41248E+11;Fusion Hardware SHRSPTSTPL STANDARD SHOWER SPOUT WITH ESCUTCHEON - POLISHED CHROME;"Finish Matching Items.<br><ul><li>Sturdy Brass Construction</li><li>6 inches with 45 degree downward projection</li><li>Complete with Matching Escutcheon Trim</li><li>Standard 1/2"" 14 NPT Threading</li></ul>";26,245625;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469988
MAT300PVD;8,41248E+11;"Fusion Hardware MAT300PVD 10"" CAN SHOWER HEAD - PVD BRASS";"Finish Matching Items.<br><ul><li>10"" Can Showerhead</li><li>Brass Construction</li><li>Natural Cascading Flow - Ideal for Over Head Installation or use with ""S"" Shower Arm</li><li>chromed Face for easy Cleaning</li><li>Flow Rate 2.5 GPM @ 60 PSI</li></ul>";215,964;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469905
MAT150ATP;8,41248E+11;"Fusion Hardware MAT150ATP DAISY SHOWER HEAD 4"" - MATCHING - ANTIQUE PEWTER";"Finish Matching Items.<br><ul><li>4"" diameter Showerhead</li><li>60 easy-clean rubber jets with detachable face</li><li>Metal ball joint for angle adjustment</li><li>Solid Brass Construction</li><li>Flow Rate: 2.5 GPM at 60 PSI</li></ul>";95,984;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469907
MAT150DKB;8,41248E+11;"Fusion Hardware MAT150DKB DAISY SHOWER HEAD 4"" - MATCHING - DARK BRONZE";"Finish Matching Items.<br><ul><li>4"" diameter Showerhead</li><li>60 easy-clean rubber jets with detachable face</li><li>Metal ball joint for angle adjustment</li><li>Solid Brass Construction</li><li>Flow Rate: 2.5 GPM at 60 PSI</li></ul>";95,984;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469910
MAT150MDB;8,41248E+11;"Fusion Hardware MAT150MDB DAISY SHOWER HEAD 4"" - MATCHING - MEDIUM BRONZE";"Finish Matching Items.<br><ul><li>4"" diameter Showerhead</li><li>60 easy-clean rubber jets with detachable face</li><li>Metal ball joint for angle adjustment</li><li>Solid Brass Construction</li><li>Flow Rate: 2.5 GPM at 60 PSI</li></ul>";95,984;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469911
MAT100PLC;8,41248E+11;Fusion Hardware MAT100PLC DAISY SHOWER HEAD 51279 - MATCHING - POLISHED CHROME;"Finish Matching Items.<br><ul><li>6"" diameter Showerhead</li><li>90 easy-clean rubber jets with detachable face</li><li>Metal ball joint for angle adjustment</li><li>Solid Brass Construction</li><li>Flow Rate: 2.5 GPM at 60 PSI</li></ul>";125,979;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469923
MAT100DKB;8,41248E+11;Fusion Hardware MAT100DKB DAISY SHOWER HEAD 51279 - MATCHING - DARK BRONZE;"Finish Matching Items.<br><ul><li>6"" diameter Showerhead</li><li>90 easy-clean rubber jets with detachable face</li><li>Metal ball joint for angle adjustment</li><li>Solid Brass Construction</li><li>Flow Rate: 2.5 GPM at 60 PSI</li></ul>";125,979;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;469919
TUBSPOUTPL;8,41248E+11;Fusion Hardware TUBSPOUTPL CONTEMPORARY TUB SPOUT W/ESCUTCHEON - POLISHED CHROME;"Finish Matching Items.<br><ul><li>1/2"" - 14 NPT connection</li><li>Includes escutcheon</li><li>7 3/4"" reach</li></ul>";59,240125;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;470106
TUBSPOUTBR;8,41248E+11;Fusion Hardware TUBSPOUTBR CONTEMPORARY TUB SPOUT W/ESCUTCHEON - BRUSHED NICKEL;"Finish Matching Items.<br><ul><li>1/2"" - 14 NPT connection</li><li>Includes escutcheon</li><li>7 3/4"" reach</li></ul>";59,240125;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;470102
TUBSPOUTOB;8,41248E+11;Fusion Hardware TUBSPOUTOB TRADITIONAL TUB SPOUT W/ESCUTCHEON - OIL RUBBED BRONZE;"Finish Matching Items.<br><ul><li>1/2"" - 14 NPT connection</li><li>Includes escutcheon</li><li>7 1/2"" reach</li></ul>";65,989;;;;;;9999;In Stock;No;;0;3;Fusion Hardware;470120
